,arr_delay
851,-6.0
852,-3.0
853,-13.0
854,-20.0
855,-33.0
856,-21.0
857,-13.0
858,3.0
859,-33.0
860,6.0
861,16.0
862,-12.0
863,-7.0
864,50.0
865,20.0
866,99.0
867,-18.0
868,-11.0
869,-5.0
870,-20.0
871,-9.0
872,-9.0
873,161.0
874,-25.0
875,25.0
876,18.0
877,18.0
878,-20.0
879,7.0
880,-24.0
881,30.0
882,31.0
883,-16.0
884,-9.0
885,-14.0
886,-8.0
887,-33.0
888,6.0
889,-5.0
890,-35.0
891,-21.0
892,3.0
893,40.0
894,142.0
895,-3.0
896,-18.0
897,-6.0
898,40.0
899,-22.0
900,-21.0
901,-23.0
902,-3.0
903,-22.0
904,-21.0
905,17.0
906,0.0
907,1.0
908,-14.0
909,-1.0
910,-9.0
911,18.0
912,-13.0
913,13.0
914,-21.0
915,0.0
916,-17.0
917,4.0
918,1.0
919,-8.0
920,-2.0
921,20.0
922,-10.0
923,-6.0
924,52.0
925,-3.0
926,2.0
927,-45.0
928,-16.0
929,-1.0
930,16.0
931,-15.0
932,4.0
933,19.0
934,-39.0
935,22.0
936,-4.0
937,38.0
938,5.0
939,-20.0
940,-8.0
941,-20.0
942,33.0
943,-8.0
944,56.0
945,81.0
946,52.0
947,-17.0
948,11.0
949,-3.0
950,42.0
951,24.0
952,-20.0
953,-8.0
954,-16.0
955,134.0
956,-25.0
957,31.0
958,0.0
959,-47.0
960,-19.0
961,25.0
962,-18.0
963,-7.0
964,-11.0
965,-26.0
966,-16.0
967,-25.0
968,-7.0
969,-5.0
970,5.0
971,19.0
972,-3.0
973,1.0
974,14.0
975,-9.0
976,-3.0
977,-6.0
978,-14.0
979,-5.0
980,-8.0
981,-15.0
982,0.0
983,-11.0
984,-18.0
985,-3.0
986,-32.0
987,39.0
988,-24.0
989,27.0
990,3.0
991,-16.0
992,-7.0
993,-7.0
994,-15.0
995,-8.0
996,99.0
997,-9.0
998,-14.0
999,-15.0
1000,-9.0
1001,-9.0
1002,-14.0
1003,-22.0
1004,-15.0
1005,64.0
1006,13.0
1007,3.0
1008,37.0
1009,-14.0
1010,-27.0
1011,-3.0
1012,5.0
1013,29.0
1014,8.0
1015,-17.0
1016,-21.0
1017,3.0
1018,8.0
1019,-24.0
1020,-24.0
1021,8.0
1022,10.0
1023,7.0
1024,-20.0
1025,159.0
1026,3.0
1027,-21.0
1028,-11.0
1029,45.0
1030,33.0
1031,-5.0
1032,-32.0
1033,3.0
1034,54.0
1035,-34.0
1036,0.0
1037,15.0
1038,-16.0
1039,-30.0
1040,-8.0
1041,-12.0
1042,149.0
1043,1.0
1044,-4.0
1045,8.0
1046,-17.0
1047,-1.0
1048,133.0
1049,-10.0
1050,-16.0
1051,55.0
1052,-28.0
1053,11.0
1054,-24.0
1055,19.0
1056,-2.0
1057,7.0
1058,-7.0
1059,-20.0
1060,131.0
1061,-17.0
1062,-6.0
1063,-16.0
1064,1037.0
1065,-11.0
1066,-3.0
1067,-21.0
1068,4.0
1069,-6.0
1070,11.0
1071,-33.0
1072,-7.0
1073,35.0
1074,-21.0
1075,-20.0
1076,-5.0
1077,-18.0
1078,13.0
1079,16.0
1080,-12.0
1081,15.0
1082,-3.0
1083,54.0
1084,-14.0
1085,27.0
1086,5.0
1087,-10.0
1088,-15.0
1089,21.0
1090,45.0
1091,-27.0
1092,-19.0
1093,7.0
1094,6.0
1095,4.0
1096,3.0
1097,-19.0
1098,-5.0
1099,1.0
1100,124.0
1101,88.0
1102,-17.0
1103,-2.0
1104,-14.0
1105,4.0
1106,31.0
1107,-5.0
1108,-8.0
1109,16.0
1110,1.0
1111,53.0
1112,6.0
1113,62.0
1114,-10.0
1115,-24.0
1116,1.0
1117,-5.0
1118,-5.0
1119,-15.0
1120,114.0
1121,-26.0
1122,-7.0
1123,25.0
1124,-15.0
1125,0.0
1126,-11.0
1127,-15.0
1128,-13.0
1129,-8.0
1130,-21.0
1131,-25.0
1132,-16.0
1133,-6.0
1134,-3.0
1135,-13.0
1136,63.0
1137,-21.0
1138,-23.0
1139,9.0
1140,16.0
1141,-21.0
1142,-15.0
1143,-5.0
1144,-7.0
1145,1.0
1146,-12.0
1147,-11.0
1148,-7.0
1149,-29.0
1150,-3.0
1151,-14.0
1152,-20.0
1153,-8.0
1154,2.0
1155,-1.0
1156,-21.0
1157,-5.0
1158,28.0
1159,-3.0
1160,48.0
1161,2.0
1162,-20.0
1163,-1.0
1164,-8.0
1165,-21.0
1166,-11.0
1167,16.0
1168,-12.0
1169,133.0
1170,-2.0
1171,72.0
1172,12.0
1173,-19.0
1174,12.0
1175,-14.0
1176,-9.0
1177,207.0
1178,-22.0
1179,-2.0
1180,-12.0
1181,-10.0
1182,4.0
1183,-19.0
1184,18.0
1185,-9.0
1186,80.0
1187,-5.0
1188,-24.0
1189,8.0
1190,-22.0
1191,23.0
1192,-22.0
1193,16.0
1194,30.0
1195,39.0
1196,-26.0
1197,7.0
1198,-9.0
1199,-3.0
1200,-5.0
1201,-27.0
1202,6.0
1203,7.0
1204,57.0
1205,-3.0
1206,-3.0
1207,25.0
1208,-10.0
1209,-43.0
1210,-14.0
1211,-4.0
1212,-10.0
1213,32.0
1214,-4.0
1215,6.0
1216,-12.0
1217,-13.0
1218,-3.0
1219,4.0
1220,-17.0
1221,-13.0
1222,-17.0
1223,14.0
1224,-28.0
1225,14.0
1226,7.0
1227,-2.0
1228,-35.0
1229,-8.0
1230,-40.0
1231,-12.0
1232,2.0
1233,100.0
1234,-8.0
1235,-35.0
1236,-13.0
1237,197.0
1238,10.0
1239,-35.0
1240,-3.0
1241,-8.0
1242,-25.0
1243,101.0
1244,8.0
1245,-29.0
1246,47.0
1247,-26.0
1248,10.0
1249,-8.0
1250,-4.0
1251,-16.0
1252,-22.0
1253,-15.0
1254,-26.0
1255,20.0
1256,-16.0
1257,-3.0
1258,-29.0
1259,57.0
1260,-19.0
1261,4.0
1262,-9.0
1263,4.0
1264,-24.0
1265,-4.0
1266,7.0
1267,99.0
1268,171.0
1269,3.0
1270,0.0
1271,-30.0
1272,2.0
1273,-22.0
1274,3.0
1275,-7.0
1276,51.0
1277,-1.0
1278,-19.0
1279,9.0
1280,90.0
1281,-12.0
1282,-23.0
1283,30.0
1284,28.0
1285,-3.0
1286,267.0
1287,-1.0
1288,-26.0
1289,167.0
1290,-22.0
1291,-6.0
1292,-3.0
1293,-9.0
1294,-18.0
1295,-19.0
1296,-21.0
1297,-12.0
1298,138.0
1299,-26.0
1300,125.0
1301,-20.0
1302,-25.0
1303,-13.0
1304,-52.0
1305,62.0
1306,9.0
1307,139.0
1308,-4.0
1309,-8.0
1310,5.0
1311,-6.0
1312,-6.0
1313,39.0
1314,47.0
1315,-13.0
1316,-15.0
1317,8.0
1318,-11.0
1319,28.0
1320,28.0
1321,17.0
1322,11.0
1323,-37.0
1324,-8.0
1325,-4.0
1326,-20.0
1327,-12.0
1328,-22.0
1329,-12.0
1330,8.0
1331,-5.0
1332,8.0
1333,34.0
1334,108.0
1335,-33.0
1336,19.0
1337,-8.0
1338,1.0
1339,36.0
1340,4.0
1341,-21.0
1342,14.0
1343,-11.0
1344,13.0
1345,4.0
1346,-21.0
1347,5.0
1348,4.0
1349,84.0
1350,27.0
1351,197.0
1352,-20.0
1353,28.0
1354,-33.0
1355,-12.0
1356,3.0
1357,34.0
1358,-13.0
1359,-4.0
1360,-8.0
1361,39.0
1362,-13.0
1363,-8.0
1364,-10.0
1365,58.0
1366,20.0
1367,-18.0
1368,-19.0
1369,-24.0
1370,-12.0
1371,-4.0
1372,-18.0
1373,18.0
1374,693.0
1375,-4.0
1376,-15.0
1377,-23.0
1378,-3.0
1379,0.0
1380,-10.0
1381,3.0
1382,23.0
1383,-15.0
1384,-4.0
1385,14.0
1386,-45.0
1387,12.0
1388,-24.0
1389,-3.0
1390,-28.0
1391,101.0
1392,-11.0
1393,2.0
1394,-13.0
1395,-10.0
1396,-20.0
1397,34.0
1398,99.0
1399,-25.0
1400,-7.0
1401,27.0
1402,-1.0
1403,-14.0
1404,-15.0
1405,21.0
1406,-37.0
1407,-13.0
1408,0.0
1409,-12.0
1410,-34.0
1411,28.0
1412,-5.0
1413,-18.0
1414,5.0
1415,-14.0
1416,-12.0
1417,-10.0
1418,-12.0
1419,6.0
1420,19.0
1421,-6.0
1422,-22.0
1423,-18.0
1424,-21.0
1425,-31.0
1426,613.0
1427,-19.0
1428,2.0
1429,79.0
1430,-8.0
1431,-3.0
1432,-16.0
1433,-4.0
1434,-31.0
1435,-2.0
1436,2.0
1437,43.0
1438,4.0
1439,91.0
1440,-10.0
1441,0.0
1442,-13.0
1443,182.0
1444,-10.0
1445,-8.0
1446,3.0
1447,99.0
1448,149.0
1449,12.0
1450,-7.0
1451,78.0
1452,111.0
1453,63.0
1454,126.0
1455,-19.0
1456,-30.0
1457,-16.0
1458,39.0
1459,-28.0
1460,-14.0
1461,-7.0
1462,21.0
1463,10.0
1464,-1.0
1465,3.0
1466,-22.0
1467,-13.0
1468,-16.0
1469,11.0
1470,-11.0
1471,-27.0
1472,21.0
1473,-8.0
1474,25.0
1475,10.0
1476,-32.0
1477,-11.0
1478,-14.0
1479,-28.0
1480,-8.0
1481,-19.0
1482,13.0
1483,-7.0
1484,-14.0
1485,-19.0
1486,-14.0
1487,-2.0
1488,-16.0
1489,24.0
1490,23.0
1491,-12.0
1492,3.0
1493,-14.0
1494,-3.0
1495,64.0
1496,24.0
1497,1.0
1498,-24.0
1499,-4.0
1500,-26.0
1501,39.0
1502,-12.0
1503,-8.0
1504,-20.0
1505,-4.0
1506,28.0
1507,-2.0
1508,4.0
1509,-12.0
1510,-18.0
1511,33.0
1512,35.0
1513,-10.0
1514,13.0
1515,-8.0
1516,-9.0
1517,5.0
1518,-5.0
1519,5.0
1520,11.0
1521,-12.0
1522,89.0
1523,-35.0
1524,-26.0
1525,-10.0
1526,86.0
1527,1.0
1528,52.0
1529,-8.0
1530,4.0
1531,-6.0
1532,-47.0
1533,-24.0
1534,-14.0
1535,-14.0
1536,12.0
1537,13.0
1538,8.0
1539,-25.0
1540,-25.0
1541,-17.0
1542,-23.0
1543,31.0
1544,-21.0
1545,-23.0
1546,18.0
1547,92.0
1548,-17.0
1549,9.0
1550,-12.0
1551,-12.0
1552,-16.0
1553,-10.0
1554,-9.0
1555,-8.0
1556,-16.0
1557,-13.0
1558,-14.0
1559,-15.0
1560,1.0
1561,-23.0
1562,373.0
1563,9.0
1564,8.0
1565,5.0
1566,29.0
1567,-39.0
1568,4.0
1569,72.0
1570,13.0
1571,47.0
1572,6.0
1573,0.0
1574,13.0
1575,-8.0
1576,35.0
1577,-11.0
1578,-8.0
1579,-20.0
1580,-11.0
1581,-13.0
1582,9.0
1583,60.0
1584,-12.0
1585,-18.0
1586,-19.0
1587,9.0
1588,12.0
1589,16.0
1590,-3.0
1591,12.0
1592,-5.0
1593,6.0
1594,3.0
1595,-6.0
1596,-6.0
1597,-9.0
1598,-4.0
1599,-29.0
1600,-9.0
1601,-13.0
1602,-10.0
1603,53.0
1604,-10.0
1605,16.0
1606,3.0
1607,19.0
1608,-5.0
1609,-20.0
1610,2.0
1611,-16.0
1612,-4.0
1613,-28.0
1614,40.0
1615,12.0
1616,19.0
1617,-33.0
1618,0.0
1619,8.0
1620,187.0
1621,-8.0
1622,-11.0
1623,24.0
1624,-4.0
1625,162.0
1626,20.0
1627,-12.0
1628,-20.0
1629,56.0
1630,19.0
1631,-10.0
1632,14.0
1633,-2.0
1634,3.0
1635,9.0
1636,-15.0
1637,-36.0
1638,-11.0
1639,-3.0
1640,-8.0
1641,129.0
1642,-22.0
1643,3.0
1644,12.0
1645,67.0
1646,-28.0
1647,-15.0
1648,-20.0
1649,-27.0
1650,-3.0
1651,-20.0
1652,-31.0
1653,38.0
1654,13.0
1655,-14.0
1656,-21.0
1657,-23.0
1658,-6.0
1659,20.0
1660,22.0
1661,-22.0
1662,5.0
1663,-20.0
1664,11.0
1665,168.0
1666,12.0
1667,-1.0
1668,23.0
1669,8.0
1670,-17.0
1671,6.0
1672,-20.0
1673,32.0
1674,16.0
1675,31.0
1676,1.0
1677,-12.0
1678,-2.0
1679,19.0
1680,7.0
1681,10.0
1682,21.0
1683,-12.0
1684,154.0
1685,-12.0
1686,8.0
1687,32.0
1688,-3.0
1689,55.0
1690,-11.0
1691,22.0
1692,-13.0
1693,-20.0
1694,65.0
1695,-20.0
1696,65.0
1697,-16.0
1698,-26.0
1699,149.0
1700,-12.0
1701,-8.0
1702,-19.0
1703,2.0
1704,-8.0
1705,-9.0
1706,-7.0
1707,-14.0
1708,2.0
1709,-16.0
1710,-10.0
1711,3.0
1712,-22.0
1713,9.0
1714,-22.0
1715,-16.0
1716,-5.0
1717,-15.0
1718,-24.0
1719,32.0
1720,-14.0
1721,-33.0
1722,114.0
1723,92.0
1724,-9.0
1725,-13.0
1726,-40.0
1727,-16.0
1728,-23.0
1729,3.0
1730,-14.0
1731,-24.0
1732,-17.0
1733,-21.0
1734,-13.0
1735,-11.0
1736,-1.0
1737,58.0
1738,-24.0
1739,-4.0
1740,108.0
1741,-24.0
1742,-8.0
1743,35.0
1744,286.0
1745,57.0
1746,-23.0
1747,-11.0
1748,-21.0
1749,-17.0
1750,-11.0
1751,117.0
1752,93.0
1753,-5.0
1754,-28.0
1755,-14.0
1756,-26.0
1757,-2.0
1758,-25.0
1759,-8.0
1760,0.0
1761,-7.0
1762,-9.0
1763,-7.0
1764,5.0
1765,-22.0
1766,-13.0
1767,23.0
1768,20.0
1769,21.0
1770,41.0
1771,-2.0
1772,2.0
1773,8.0
1774,-10.0
1775,0.0
1776,11.0
1777,74.0
1778,-16.0
1779,-6.0
1780,115.0
1781,-18.0
1782,82.0
1783,-48.0
1784,-15.0
1785,30.0
1786,-18.0
1787,-17.0
1788,-18.0
1789,29.0
1790,-21.0
1791,-14.0
1792,6.0
1793,-11.0
1794,-19.0
1795,15.0
1796,-15.0
1797,-8.0
1798,-5.0
1799,-14.0
1800,-16.0
1801,4.0
1802,2.0
1803,41.0
1804,33.0
1805,-26.0
1806,-4.0
1807,-24.0
1808,16.0
1809,-12.0
1810,4.0
1811,-4.0
1812,-23.0
1813,33.0
1814,-1.0
1815,-20.0
1816,-34.0
1817,1.0
1818,-30.0
1819,96.0
1820,35.0
1821,43.0
1822,95.0
1823,7.0
1824,83.0
1825,20.0
1826,-9.0
1827,-17.0
1828,43.0
1829,-14.0
1830,-8.0
1831,17.0
1832,-23.0
1833,-20.0
1834,-22.0
1835,-17.0
1836,-39.0
1837,6.0
1838,-16.0
1839,-32.0
1840,-5.0
1841,126.0
1842,-5.0
1843,5.0
1844,24.0
1845,-15.0
1846,-13.0
1847,-26.0
1848,-18.0
1849,-11.0
1850,-2.0
1851,-7.0
1852,-8.0
1853,-6.0
1854,-10.0
1855,7.0
1856,-12.0
1857,18.0
1858,-8.0
1859,-8.0
1860,-21.0
1861,86.0
1862,0.0
1863,47.0
1864,32.0
1865,5.0
1866,-6.0
1867,-4.0
1868,-1.0
1869,-22.0
1870,0.0
1871,-17.0
1872,2.0
1873,-12.0
1874,-14.0
1875,-23.0
1876,-2.0
1877,-7.0
1878,-7.0
1879,106.0
1880,-26.0
1881,-16.0
1882,-6.0
1883,-19.0
1884,0.0
1885,34.0
1886,-12.0
1887,-17.0
1888,-7.0
1889,20.0
1890,-21.0
1891,-15.0
1892,32.0
1893,-37.0
1894,25.0
1895,4.0
1896,-10.0
1897,13.0
1898,-13.0
1899,24.0
1900,163.0
1901,43.0
1902,-5.0
1903,18.0
1904,-6.0
1905,-9.0
1906,-14.0
1907,-31.0
1908,-15.0
1909,-8.0
1910,247.0
1911,-8.0
1912,9.0
1913,16.0
1914,-1.0
1915,19.0
1916,-12.0
1917,27.0
1918,-10.0
1919,-13.0
1920,-7.0
1921,-8.0
1922,41.0
1923,41.0
1924,-31.0
1925,-14.0
1926,99.0
1927,-18.0
1928,3.0
1929,-10.0
1930,-28.0
1931,-21.0
1932,-5.0
1933,-6.0
1934,-10.0
1935,-15.0
1936,31.0
1937,-5.0
1938,6.0
1939,-25.0
1940,-28.0
1941,81.0
1942,58.0
1943,241.0
1944,6.0
1945,-8.0
1946,31.0
1947,-17.0
1948,-32.0
1949,31.0
1950,3.0
1951,-7.0
1952,-17.0
1953,-26.0
1954,96.0
1955,24.0
1956,106.0
1957,5.0
1958,-12.0
1959,-17.0
1960,-30.0
1961,-1.0
1962,-32.0
1963,12.0
1964,-14.0
1965,-18.0
1966,88.0
1967,-26.0
1968,-24.0
1969,-19.0
1970,-6.0
